Ligand,Smiles
AL-37350A,C[C@H](N)Cc1c[nH]c2ccc3c(c12)CCCO3
BW723C86,CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12
MK-212,Clc1cncc(N2CCNCC2)n1
Ro 60-0175,C[C@H](N)Cn1ccc2cc(F)c(Cl)cc21
S 16924,O=C(CC1CCN(CCOc2cccc3c2OCCO3)C1)c1ccc(F)cc1
VER-3323,C[C@H](N)CN1CCc2ccc(Br)cc21
Org 12962,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl
ORG-37684,COc1ccc2c(c1O[C@H]1CCNC1)CCC2
quipazine,c1ccc2nc(N3CCNCC3)ccc2c1
AC-90179,COc1ccc(CC(=O)N(Cc2ccc(C)cc2)C2CCN(C)CC2)cc1
spiramide,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2
EGIS-7625,Cc1cc([N+](=O)[O-])c(N2CCN(Cc3ccccc3)CC2)cc1N
LY063518,N=C(N)N/N=C(/c1ccccc1)c1ccc(Cl)s1
LY215840,CC(C)n1cc2c3c(cccc31)C1C[C@@H](C(=O)N[C@H]3CCC[C@H]3O)CN(C)[C@@H]1C2
LY314228,CCCc1c(COc2ccc(/C=N/N=C(N)N)cc2)ccc(C(C)=O)c1O
LY320954,CCCc1c(COc2ccc(/C=N/N=C(N)N)cc2)ccc(C(=O)CC)c1O
LY53857,CC(O)C(C)OC(=O)[C@@H]1C[C@@H]2c3cccc4c3c(cn4C(C)C)C[C@H]2N(C)C1
LY86057,CC(O)C(C)OC(=O)C1CC2c3cccc4[nH]cc(c34)CC2N(C)C1
volinanserin,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC
glemanserin,OC(c1ccccc1)C1CCN(CCc2ccccc2)CC1
RS-102221,COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1
RS-127445,CC(C)c1cc(-c2ccc(F)c3ccccc23)nc(N)n1
SB 206553,Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1
SB 215505,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2
SB 221284,CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2
SB 228357,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2
SB 242084,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2
SB 243213,Cc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2
SDZ SER-082,CN1CC[C@@H]2CN3CCc4cccc(c43)[C@@H]2C1
agomelatine,COc1ccc2cccc(CCNC(C)=O)c2c1
amesergide,CC(C)n1cc2c3c(cccc31)[C@H]1C[C@@H](C(=O)NC3CCCCC3)CN(C)[C@@H]1C2
duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
mesulergine,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
molindone,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
sarpogrelate,COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)c1
sergolexole,CO[C@H]1CC[C@H](OC(=O)[C@@H]2C[C@@H]3c4cccc5c4c(cn5C(C)C)C[C@H]3N(C)C2)CC1
thiothixene,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
trazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
lorcaserin,C[C@H]1CNCCc2ccc(Cl)cc21
[<sup>18</sup>F]altanserin,O=C(c1ccc([18F])cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1
[<sup>11</sup>C]volinanserin,COc1c(O[11CH3])cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1
mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1
nefazodone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
flibanserin,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1
pimavanserin,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1
BF-1,CCOc1ccc2c(c1)Sc1cccc(OC)c1C2=C1CCN(C)CC1
relenopride,COc1cc(N)c(Cl)cc1C(=O)NCC1CCN(CC[C@H](OC(N)=O)c2ccc(F)cc2)CC1
[<sup>11</sup>C]GSK215083,[11CH3]N1CCN(c2cccc3cc(S(=O)(=O)c4cccc(F)c4)cnc23)CC1
compound 3b [PMID:28943244],COc1ccccc1N1CCN(CCNC(=O)c2ccccn2)CC1
